variable,nulos,pct_nulos,shapiro_orig_p,shapiro_after_p,ks_p,mannwhitney_p,ttest_p,chi2_p,clasificacion,metodo_sugerido
puntuacion_credito,500,50.0,0.9405074487819163,1.2880714353292172e-14,2.723873049184675e-11,3.2427200732098927e-15,,,MAR (probable),Iterative (regresión)
estado_civil,350,35.0,,,,,,0.8695960411934276,MAR (probable),KNN categórico
gasto_mensual,250,25.0,0.6752080656095224,0.00039090197187977596,0.10813622162433434,0.002046152459923296,,,MAR (probable),KNN (k=5)
segmento,200,20.0,,,,,,0.8268204070082306,MAR (probable),Hot-deck
demanda,150,15.0,1.1296275597737729e-07,3.176739034443696e-05,0.336684726136264,0.025103978281341414,,,MAR (probable),KNN (k=5)
ingresos,120,12.0,0.3244752066997847,0.09755198638951655,0.9272466479036574,,0.00019482413250464678,,MAR (probable),KNN (k=5)
nivel_educativo,100,10.0,,,,,,0.994022836864191,MAR (probable),Hot-deck
altura_cm,80,8.0,0.5911471524051286,0.5022640462292757,0.9940674980889341,,0.7063703250061366,,MAR (probable),Mediana
ciudad,50,5.0,,,,,,0.998479077977644,MAR (probable),Moda
edad,30,3.0,1.1321854217553133e-15,3.1205152601138016e-15,0.9999999999912338,0.6972498470091026,,,MAR (probable),Mediana
sexo,20,2.0,,,,,,0.9091385923731194,MAR (probable),Moda
fecha,0,0.0,,,,,,,,Moda
